City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Kandi,BJ,2022-04-10 14:57:55,11.1342,2.9386,104.25,19,52,2.77
121,Lodwar,KE,2022-04-10 14:57:55,3.1191,35.5973,96.08,27,83,20.76
122,Vanavara,RU,2022-04-10 14:57:55,60.34,102.2797,17.13,94,51,3.78
123,Itarema,BR,2022-04-10 14:57:56,-2.9248,-39.9167,82.09,76,93,9.73
124,Mar Del Plata,AR,2022-04-10 14:57:56,-38.0023,-57.5575,69.82,97,75,10.0
125,Hilo,US,2022-04-10 14:54:49,19.7297,-155.09,70.25,98,100,1.01
126,Lasa,IT,2022-04-10 14:57:56,46.6166,10.7002,53.69,57,63,6.33
127,Arraial Do Cabo,BR,2022-04-10 14:57:57,-22.9661,-42.0278,82.36,69,40,6.91
128,Leningradskiy,RU,2022-04-10 14:57:57,69.3833,178.4167,-15.61,93,49,5.35
129,Kayerkan,RU,2022-04-10 14:57:57,69.3497,87.7602,-5.53,99,95,5.64
130,Klaksvik,FO,2022-04-10 14:54:52,62.2266,-6.589,36.52,60,97,10.71
131,Mount Gambier,AU,2022-04-10 14:53:57,-37.8333,140.7667,58.91,77,100,9.22
132,Cabo San Lucas,MX,2022-04-10 14:57:58,22.8909,-109.9124,70.52,71,36,11.01
133,Bluff,NZ,2022-04-10 14:57:58,-46.6,168.3333,48.72,88,31,8.19
134,Bundibugyo,UG,2022-04-10 14:57:59,0.7414,30.0417,87.03,41,80,3.83
135,Tiksi,RU,2022-04-10 14:57:59,71.6872,128.8694,-13.18,100,100,0.83
136,East London,ZA,2022-04-10 14:57:59,-33.0153,27.9116,68.94,83,0,10.36
137,Constitucion,CL,2022-04-10 14:53:28,-35.3333,-72.4167,58.48,56,1,4.05
138,Ozinki,RU,2022-04-10 14:59:00,51.1786,49.6769,56.62,71,21,5.5
139,Port Lincoln,AU,2022-04-10 14:59:00,-34.7333,135.8667,62.87,78,100,13.11
140,Gilgit,PK,2022-04-10 14:59:00,35.9221,74.3087,68.38,38,8,3.31
141,Aras,ES,2022-04-10 14:59:01,42.5617,-2.356,66.63,45,0,21.85
142,Nova Granada,BR,2022-04-10 14:59:01,-20.5339,-49.3142,84.45,55,68,3.33
143,Tuktoyaktuk,CA,2022-04-10 14:54:44,69.4541,-133.0374,-7.6,77,75,10.36
144,Quatre Cocos,MU,2022-04-10 14:59:01,-20.2078,57.7625,77.11,79,47,15.03
145,Bahia Blanca,AR,2022-04-10 14:59:02,-38.7196,-62.2724,61.43,97,100,9.22
146,Zyryanka,RU,2022-04-10 14:59:02,65.75,150.85,-1.3,96,100,4.81
147,Sitka,US,2022-04-10 14:59:02,57.0531,-135.33,33.64,84,6,3.74
148,Glarus,CH,2022-04-10 14:59:03,47.0406,9.068,53.64,75,69,2.17
149,Pangnirtung,CA,2022-04-10 14:59:03,66.1451,-65.7125,25.07,87,100,5.79
150,Kifri,IQ,2022-04-10 14:59:03,34.6959,44.9661,79.81,20,93,6.15
151,Baijiantan,CN,2022-04-10 14:59:04,45.6333,85.1833,59.76,21,99,8.03
152,Hualmay,PE,2022-04-10 14:59:05,-11.0964,-77.6139,72.23,77,63,9.1
153,Isangel,VU,2022-04-10 14:59:05,-19.55,169.2667,79.97,84,44,8.3
154,Plettenberg Bay,ZA,2022-04-10 14:59:05,-34.0527,23.3716,71.13,70,51,20.89
155,Joshimath,IN,2022-04-10 14:59:05,30.5667,79.5667,59.94,45,2,7.76
156,Hami,CN,2022-04-10 14:59:06,42.8,93.45,57.29,21,99,12.15
157,Paamiut,GL,2022-04-10 14:59:06,61.994,-49.6678,32.34,77,100,11.7
158,Necochea,AR,2022-04-10 14:59:06,-38.5473,-58.7368,69.96,70,100,6.46
159,Tiznit,MA,2022-04-10 14:59:07,29.5833,-9.5,81.88,18,21,7.49
160,Tuatapere,NZ,2022-04-10 14:59:07,-46.1333,167.6833,44.42,91,4,5.37
161,Lahij,YE,2022-04-10 14:59:07,13.1667,44.5833,83.89,36,0,11.12
162,Lahaina,US,2022-04-10 14:59:08,20.8783,-156.6825,74.8,84,61,8.43
163,Barra Patuca,HN,2022-04-10 14:59:08,15.8,-84.2833,79.79,67,100,11.16
164,Broken Hill,AU,2022-04-10 14:59:08,-31.95,141.4333,71.31,46,0,6.91
165,Nome,US,2022-04-10 14:59:08,64.5011,-165.4064,18.88,100,100,2.59
166,Norman Wells,CA,2022-04-10 14:54:30,65.282,-126.8329,5.04,78,40,12.66
167,Rokupr,SL,2022-04-10 14:59:09,8.6717,-12.395,104.25,27,99,1.66
168,Entre Rios,BR,2022-04-10 14:59:09,-11.9419,-38.0844,94.55,32,26,5.86
169,Monte Azul,BR,2022-04-10 14:59:10,-15.155,-42.8747,95.07,30,1,2.21
170,Pankrushikha,RU,2022-04-10 14:59:10,53.8319,80.3406,31.96,76,12,8.72
171,Talara,PE,2022-04-10 14:59:10,-4.5772,-81.2719,76.41,67,85,12.57
172,Russell,US,2022-04-10 14:54:26,32.3502,-85.1999,64.96,63,0,0.0
173,Boa Vista,BR,2022-04-10 14:59:11,2.8197,-60.6733,84.18,61,75,14.97
174,Avarua,CK,2022-04-10 14:59:11,-21.2078,-159.775,77.05,100,75,2.3
175,Pampierstad,ZA,2022-04-10 14:59:11,-27.7832,24.6877,58.84,85,100,8.08
176,Pandan,PH,2022-04-10 14:59:12,14.0453,124.1694,78.98,88,100,16.26
177,Beringovskiy,RU,2022-04-10 14:59:12,63.05,179.3167,25.11,93,51,14.25
178,Solnechnyy,RU,2022-04-10 14:59:12,50.7214,136.6319,28.22,98,100,4.61
179,Diffa,NE,2022-04-10 14:59:13,13.3154,12.6113,106.05,7,31,5.7
180,La Rioja,ES,2022-04-10 14:59:13,42.25,-2.5,60.58,41,100,11.32
181,Seminole,US,2022-04-10 14:59:14,28.7086,-81.2081,68.5,42,0,6.33
182,Chico,US,2022-04-10 15:00:04,39.7285,-121.8375,55.67,29,75,24.16
183,Rundu,NA,2022-04-10 15:00:14,-17.9333,19.7667,84.31,36,74,7.87
184,Rubtsovsk,RU,2022-04-10 15:00:15,51.5,81.25,38.41,63,4,8.7
185,Omboue,GA,2022-04-10 15:00:16,-1.5746,9.2618,83.01,70,100,8.05
186,Chiang Khong,TH,2022-04-10 15:00:18,20.2613,100.4046,77.45,46,6,1.54
187,Asfi,MA,2022-04-10 15:00:18,32.2994,-9.2372,64.08,78,100,9.82
188,Marsh Harbour,BS,2022-04-10 15:00:19,26.5412,-77.0636,68.7,58,2,18.07
189,Kotelnich,RU,2022-04-10 15:00:19,58.3089,48.348,39.52,98,100,8.63
190,Abalak,RU,2022-04-10 15:00:19,58.1286,68.5944,30.56,95,91,4.7
191,Ayan,RU,2022-04-10 15:00:20,56.45,138.1667,21.47,76,15,5.01
192,Leon,MX,2022-04-10 15:00:02,21.1167,-101.6667,67.77,49,1,6.62
193,Broome,US,2022-04-10 15:00:21,42.2506,-75.833,40.39,73,100,10.36
194,Yeppoon,AU,2022-04-10 15:00:21,-23.1333,150.7333,73.18,86,93,16.33
195,Kribi,CM,2022-04-10 15:00:21,2.95,9.9167,84.16,71,55,10.65
196,Mehamn,NO,2022-04-10 15:00:22,71.0357,27.8492,35.92,85,11,18.01
197,Mackenzie,CA,2022-04-10 15:00:16,55.2999,-123.1698,23.22,93,40,5.75
198,Longyearbyen,SJ,2022-04-10 15:00:22,78.2186,15.6401,13.84,48,26,28.77
199,Lingyuan,CN,2022-04-10 15:00:22,41.24,119.4011,65.17,50,88,6.98
200,Lebu,CL,2022-04-10 15:00:23,-37.6167,-73.65,53.67,83,60,13.2
201,Castro,BR,2022-04-10 14:54:42,-24.7911,-50.0119,73.87,62,100,3.24
202,Tomohon,ID,2022-04-10 15:00:24,1.3346,124.8392,68.94,91,99,1.57
203,Namibe,AO,2022-04-10 15:00:24,-15.1961,12.1522,75.13,73,47,11.01
204,Touros,BR,2022-04-10 15:00:24,-5.1989,-35.4608,87.71,60,61,15.23
205,Shahrud,IR,2022-04-10 15:00:25,36.4182,54.9763,53.13,60,30,13.96
206,Bilibino,RU,2022-04-10 15:00:25,68.0546,166.4372,-19.68,100,100,0.76
207,Vardo,NO,2022-04-10 15:00:26,70.3705,31.1107,36.41,87,68,21.03
208,Kaitangata,NZ,2022-04-10 15:00:26,-46.2817,169.8464,45.45,95,12,3.51
209,Cherskiy,RU,2022-04-10 14:59:48,68.75,161.3,-13.68,100,100,2.19
210,Nurota,UZ,2022-04-10 15:00:27,40.5614,65.6886,75.65,34,100,12.21
211,Bukama,CD,2022-04-10 15:00:27,-9.2,25.85,84.6,71,99,2.21
212,Kamina,CD,2022-04-10 15:00:27,-8.7386,24.9906,78.24,67,100,5.61
213,Shushenskoye,RU,2022-04-10 15:00:28,53.325,91.9356,33.58,94,99,6.02
214,Rosetta,EG,2022-04-10 15:00:28,31.4044,30.4164,65.48,66,15,13.11
215,Morondava,MG,2022-04-10 15:00:28,-20.2833,44.2833,83.46,74,98,9.22
216,Belaya Gora,RU,2022-04-10 14:59:51,68.5333,146.4167,-17.63,100,99,1.83
217,Yerbogachen,RU,2022-04-10 15:00:29,61.2767,108.0108,16.59,94,19,5.53
218,Filadelfia,US,2022-04-10 14:55:57,39.9523,-75.1638,49.93,49,31,7.0
219,Ishigaki,JP,2022-04-10 15:00:29,24.3448,124.1572,75.11,90,49,15.37
220,Otane,NZ,2022-04-10 15:00:30,-39.8833,176.6333,46.0,92,1,2.01
221,Saurimo,AO,2022-04-10 15:00:30,-9.6608,20.3916,70.54,88,100,3.76
222,Mandera,KE,2022-04-10 15:00:30,3.9366,41.867,97.23,25,16,5.01
223,Marica,BR,2022-04-10 14:58:06,-22.9194,-42.8186,82.35,80,62,3.06
224,Doka,SD,2022-04-10 15:00:31,13.5167,35.7667,104.13,10,11,6.17
225,Srednekolymsk,RU,2022-04-10 14:56:39,67.45,153.6833,0.18,97,100,5.91
226,Dwarka,IN,2022-04-10 15:00:31,22.2394,68.9678,81.9,75,1,10.04
